                               The FREQ Procedure
 
                                      r_age
 
                                             Cumulative    Cumulative
           r_age    Frequency     Percent     Frequency      Percent
           ----------------------------------------------------------
              -1           1        0.33             1         0.33
               2           1        0.33             2         0.65
               3           1        0.33             3         0.98
              20           1        0.33             4         1.30
              23           1        0.33             5         1.63
              24           1        0.33             6         1.95
              26           2        0.65             8         2.61
              27           6        1.95            14         4.56
              28           4        1.30            18         5.86
              29           5        1.63            23         7.49
              30           1        0.33            24         7.82
              31           5        1.63            29         9.45
              32           5        1.63            34        11.07
              33           6        1.95            40        13.03
              34          10        3.26            50        16.29
              35          12        3.91            62        20.20
              36           9        2.93            71        23.13
              37           4        1.30            75        24.43
              38           9        2.93            84        27.36
              39          16        5.21           100        32.57
              40          11        3.58           111        36.16
              41           9        2.93           120        39.09
              42          14        4.56           134        43.65
              43          11        3.58           145        47.23
              44          11        3.58           156        50.81
              45           9        2.93           165        53.75
              46          13        4.23           178        57.98
              47          11        3.58           189        61.56
              48          10        3.26           199        64.82
              49           7        2.28           206        67.10
              50           9        2.93           215        70.03
              51           6        1.95           221        71.99
              52           9        2.93           230        74.92
              53          10        3.26           240        78.18
              54           4        1.30           244        79.48
              55           7        2.28           251        81.76
              56           6        1.95           257        83.71
              57           5        1.63           262        85.34
              58           3        0.98           265        86.32
              59           6        1.95           271        88.27
              60           5        1.63           276        89.90
              61           3        0.98           279        90.88
              62           2        0.65           281        91.53
              63           9        2.93           290        94.46
              64           4        1.30           294        95.77
              65           4        1.30           298        97.07
              67           4        1.30           302        98.37
              68           2        0.65           304        99.02
              70           1        0.33           305        99.35
              72           1        0.33           306        99.67
              74           1        0.33           307       100.00
