                            Quantiles (Definition 5)
 
                            Quantile       Estimate
 
                            100% Max       150.1119
                            99%            113.2275
                            95%             86.7046
                            90%             73.9412
                            75% Q3          63.8887
                            50% Median      51.6344
                            25% Q1          41.9698
                            10%             34.5962
                            5%              29.9688
                            1%              14.8842
                            0% Min          11.4402
